id,source_model,source_index,language,question,reference,candidate,BERTScore(F1),ROUGE-L,BLEU,difficulty
Q01,ChatGPT,1,ja,この研究の主な目的は何ですか？,ヒト胚性幹細胞（ESC）由来の肝細胞様細胞（HLC）を用いた新生児尿素回路異常症（UCD）への橋渡し治療の安全性と有効性を評価することです。,この研究の主な目的は、尿素サイクル異常症（UCD）を持つ新生児に対して、胚性幹細胞由来肝細胞様細胞（HLC）を用いた初のヒト臨床試験を実施し、安全性と有効性を評価することです。HLCがアンモニア代謝を改善し、肝移植までの期間を延ばす可能性を探ることを目指しました。,0.904761791229248,0.3333333333333333,0,15
Q02,ChatGPT,2,ja,肝移植を安全に行うために目標とされた体重は何kgですか？,6kg以上が、安全な肝移植のための目標体重として設定されました。,肝移植を安全に行うために目標とされた体重は2.0 kgです。これは、新生児の呼吸機能や代謝安定性を確保するための基準値として設定されました。,0.9093607664108276,0.0,0,28
Q03,ChatGPT,3,ja,ESC由来HLCの前臨床試験で観察された安全性に関する主要な結果は何ですか？,注入されたHLCは肝臓に限局しており、腫瘍形成や他臓器への移行は認められませんでした。,前臨床試験では、免疫応答が最小限に抑えられ、腫瘍形成のリスクも低いことが示されました。また、投与されたHLCは肝臓内で生存し、機能的なアンモニア代謝を促進しました。,0.8882961273193359,1.0,0,38
Q04,ChatGPT,4,ja,臨床試験ではHLCはどのような経路で注入されましたか？,臍静脈から左門脈にカテーテルを挿入し、門脈内にHLCを注入しました。,HLCは、門脈静脈（portal vein）を通して注入されました。これは、肝細胞が最も多く存在する部位への直接的な投与を目的としたものです。,0.872070848941803,0.5,0,27
Q05,ChatGPT,5,ja,臨床試験に参加した新生児は何人でしたか？,5人の新生児がHLC注入を受けました。,臨床試験には合計10人の新生児が参加しました。,0.8984354138374329,0.0,0,20
Q06,ChatGPT,6,ja,HLC注入後、すべての患者で達成された臨床的成果は何ですか？,すべての患者が体重6kg以上に成長し、肝移植に成功しました。,HLC注入後、すべての患者はアンモニアレベルの低下と体重増加を示し、肝移植までの期間を延ばすことができました。しかし、アンモニアレベルの正常化には至りませんでした。,0.8899165391921997,0.0,0,30
Q07,ChatGPT,7,ja,ヒトへのHLC投与後に最も懸念された合併症は何でしたか？,門脈内の血栓形成（特に第4例）です。,最も懸念された合併症は、免疫拒絶反応や腫瘍形成です。これらのリスクを最小限に抑えるために、免疫抑制療法が実施されました。,0.8350677490234375,0.0,0,28
Q08,ChatGPT,8,ja,HLCの分化効率はどれくらいでしたか？,約60%のESCが機能的なHLCに分化しました。,HLCの分化効率に関する具体的な数値は記載されていません。情報が見つかりませんでした。,0.8613575100898743,0.5,0,19
Q09,ChatGPT,9,ja,HLC注入後に長期間肝臓に残存したことを示す証拠はありましたか？,肝摘出標本からはHLCが検出されず、長期的な残存は示されませんでした。,HLC注入後、長期的な肝臓での残存を示す直接的な証拠は論文には記載されていません。情報が見つかりませんでした。,0.9027048349380493,1.0,0,32
Q10,ChatGPT,10,ja,今後、HLCの機能をより正確に評価するために予定されている手法は何ですか？,移植細胞由来のcell-free DNAの測定や酵素活性アッセイによる分子解析が予定されています。,今後は、バイオマーカーを用いたアンモニア代謝の定量的な評価や、肝臓生検によるHLCの機能的評価を行う予定です。,0.8469755053520203,0.0,0,37
Q11,Claude,1,ja,この研究で使用された細胞治療の目的は何ですか？,新生児期発症の尿素サイクル異常症患者に対して、肝移植までの架橋療法として胚性幹細胞由来の肝細胞様細胞（HLC）を使用することです。体重6kg以上という安全な肝移植条件を満たすまでの期間、代謝の安定性を維持することを目的としています。,この研究で使用された細胞治療の目的は、尿素サイクル異常症（UCD）を持つ新生児のアンモニア代謝を改善し、肝移植までの期間を延ばすことです。,0.8930099010467529,0.0,0,23
Q12,Claude,2,ja,臨床試験に参加した患者は何人で、どのような疾患でしたか？,5人の新生児が参加し、内訳は尿素サイクル異常症（シトルリン血症1型1例、CPS1欠損症2例、OTC欠損症2例）でした。,臨床試験には10人の新生児が参加し、全員が尿素サイクル異常症（UCD）と診断されていました。,0.8874130845069885,0.0,0,28
Q13,Claude,3,ja,HLCの投与方法はどのように行われましたか？,臍静脈を通じて左門脈に二重内腔カテーテルを挿入し、5×10^7個/kgの用量で2回に分けて投与されました。1回目と2回目の投与は2-3日間隔で行われました。,HLCは門脈静脈を通して投与されました。,0.888260006904602,0.0,0,22
Q14,Claude,4,ja,前臨床試験ではどのような動物モデルが使用されましたか？,SCID-OTCD（オルニチントランスカルバミラーゼ欠損症）マウスモデルが使用され、HLCの有効性と安全性が評価されました。また、安全性検証のために幼若豚でも試験が行われました。,前臨床試験では、免疫不全マウスやウシ胎児肝臓組織移植モデルが使用されました。,0.8713648319244385,0.0,0,27
Q15,Claude,5,ja,全ての患者は目標体重に到達できましたか？,はい、全ての患者が目標体重である6kgを超え、中央値152日（138-204日）で達成しました。その後、生体肝移植3例、脳死肝移植2例で肝移植が実施されました。,はい、全ての患者は目標体重2.0 kgに到達しました。,0.8873858451843262,0.2222222222222222,0,20
Q16,Claude,6,ja,HLC投与後に観察された主な合併症は何でしたか？,摘出肝の病理学的検査において、2例（症例3と4）で門脈内血栓/塞栓が観察されました。特に症例4では軟骨形成を伴う塞栓が中心門脈に認められました。,HLC投与後に観察された主な合併症としては、軽度の血小板減少や一過性の肝酵素上昇などがありました。重篤な免疫拒絶反応や腫瘍形成は認められませんでした。,0.8669870495796204,0.0,0,24
Q17,Claude,7,ja,HLCの特徴的な性質として確認されたものは何ですか？,HLCは六角形構造を示し、AFP（α-フェトプロテイン）を高発現し、アンモニア代謝能力を有していました。また、胆管様構造、細胞間結合、微絨毛を持つことが確認されました。,HLCの特徴的な性質として、免疫応答が最小限に抑えられ、機能的なアンモニア代謝を促進することが確認されました。,0.8856452703475952,0.6666666666666666,0,26
Q18,Claude,8,ja,腫瘍形成の安全性はどのように確認されましたか？,ヌードマウスへの皮下注射試験において、HLCは16週間後も腫瘍形成を示さなかった一方、未分化胚性幹細胞では全例でテラトーマが形成されました。GLP準拠施設での12週間の毒性試験でも問題は認められませんでした。,前臨床試験において、腫瘍形成のリスクが低いことを確認しました。また、臨床試験では患者の経過観察を通じて腫瘍形成の兆候がないか注意深く監視しました。,0.8837685585021973,0.0,0,23
Q19,Claude,9,ja,免疫抑制療法にはどのような薬剤が使用されましたか？,タクロリムスとプレドニゾロンが免疫抑制剤として使用され、投与量とタクロリムスの目標血中濃度は以前の研究に基づいて設定されました。,免疫抑制療法には、シクロスポリンAとプレドニゾールが使用されました。,0.9021656513214111,0.0,0,25
Q20,Claude,10,ja,この研究の最終的な結論は何でしたか？,ESC由来HLCの注入は、尿素サイクル異常症新生児に対する実用的な架橋療法であり、より安全な肝移植のための体重閾値達成まで代謝サポートを提供できることが示されました。ただし、血栓形成などの合併症に対する慎重な監視が必要です。,この研究は、HLCを用いた初のヒト臨床試験として安全性を示し、UCDを持つ新生児のアンモニア代謝を改善する可能性を示唆しました。しかし、さらなる研究による有効性の評価が必要であると結論付けられました。,0.8797149062156677,0.5,0,18
Q21,Gemini,1,ja,この研究の主要な目的は何ですか？,この研究は、新生児発症型尿素サイクル異常症の患者に対するブリッジング療法として、ヒト胚性幹細胞由来肝細胞様細胞（HLC）輸液療法の安全性と有効性を評価することを目的としています。,上記と同様です。この研究の主な目的は、尿素サイクル異常症（UCD）を持つ新生児に対して、胚性幹細胞由来肝細胞様細胞（HLC）を用いた初のヒト臨床試験を実施し、安全性と有効性を評価することです。,0.9204283356666565,0.6666666666666666,0,16
Q22,Gemini,2,ja,尿素サイクル異常症の症状にはどのようなものがありますか？,尿素サイクル異常症の症状には、嘔吐、呼吸速迫、発作、昏睡、神経障害などがあり、これらは生命を脅かす可能性があり、不可逆的です。,論文では具体的な症状の詳細な記述はありませんでした。情報が見つかりませんでした。,0.8630317449569702,0.0,0,28
Q23,Gemini,3,ja,肝臓移植は尿素サイクル異常症に対する効果的な治療法とされていますが、なぜ新生児に対してすぐに実施されないのですか？,新生児の肝臓移植は、重篤な術後合併症のリスクが高いため、患者が安全な肝臓移植に必要とされる体重6kgに達するまで延期されます。,肝臓移植は有効な治療法ですが、新生児への移植は、呼吸機能や代謝の未発達さからリスクが高いため、すぐに実施されません。HLC療法は、肝移植までの期間を延ばすための代替手段として期待されています。,0.8964160084724426,0.0,0,57
Q24,Gemini,4,ja,HLC輸液療法は、臨床試験において何人の新生児に実施されましたか？,臨床試験では、尿素サイクル異常症の新生児5人にHLC輸液療法が実施されました。,上記と同様です。10人の新生児に実施されました。,0.895022988319397,0.0,0,33
Q25,Gemini,5,ja,前臨床試験では、HLCの安全性はどのように評価されましたか？,前臨床試験では、ヌードラットを用いた研究でHLCが肝臓に生着し、他の臓器への移動や腫瘍形成がなく、毒性を示す変化も観察されませんでした。,前臨床試験では、免疫不全マウスを用いた移植実験やウシ胎児肝臓組織移植モデルを用いて、免疫応答、腫瘍形成のリスクなどを評価しました。,0.8974835276603699,0.0,0,30
Q26,Gemini,6,ja,HLC輸液はどのように投与されましたか？,HLCは、臍帯静脈を介して左門脈に挿入されたダブルルーメンカテーテルで注入されました。,HLCは門脈静脈を通して投与されました。,0.9102847576141357,1.0,0,20
Q27,Gemini,7,ja,HLCはin vitroでどのような機能を示しましたか？,HLCは肝芽細胞のマーカーであるAFPを高レベルで発現し、アンモニアを代謝する能力を示しました。,HLCはin vitroにおいて、アンモニア代謝に必要な酵素活性を示すことが確認されました。,0.8983327150344849,0.4,0,28
Q28,Gemini,8,ja,臨床試験において、HLC輸液を受けた患者全員が肝臓移植前に達成した重要な体重目標は何ですか？,臨床試験において、HLC輸液を受けた新生児5人全員が、肝臓移植の安全な閾値とされる目標体重6kgを超えました。,上記と同様です。2.0 kgです。,0.8338790535926819,0.0,0,46
Q29,Gemini,9,ja,HLC治療後に患者のアンモニアレベルはどのように変化しましたか？,"HLC治療後、患者のアンモニアレベルは安定し、多くの場合、劇的に減少しました。例えば、症例1では初期アンモニアレベル 2,026 μg/dLが輸液後に150 μg/dL以下に安定しました。",HLC治療後、すべての患者でアンモニアレベルの低下が見られましたが、正常値には達していませんでした。,0.8935350179672241,0.19999999999999998,0,32
